Name,URL,Instagram,Email address,Address,Town / City,Phone,Open to public?,Online store?,Categories,Hours
Neufeld Family Farm,http://facebook.com/NeufeldFamilyFarm/,-,t.m.neufeld@live.ca,"2832 Campden Rd. RR# 1 Vineland, ON L0R 2C0",Vineland,905-941-0179,Yes,No,"Vegetables, Maple Farm",-
Neva Fantham-Tremblay,-,-,Nevaaven@hotmail.com,"60 Hazelton Lane, North Bay",North Bay,705-358-8943,,,Flower Farm,-
New Care Farms Inc/Upper Canada Creamery,https://www.uppercanadacreamery.com/,https://www.instagram.com/uppercanadacreamery/,sales@uppercanadacreamery.com,"11575 Waddell Rd., Iroquois, Ontario",Iroquois,613-803-8890,Yes,Yes,Dairy Farm,Tuesday: 9 am – 4 pm; Wednesday: 9 am – 4 pm; Thursday: 9 am – 4 pm; Friday: 9 am – 4 pm; Saturday: 11 am – 3 pm
O'Brien Farms,https://www.obrienfarm.ca/,https://www.instagram.com/obrienfarmsbeef/,dan.obrien@sympatico.ca,"13214 CTY RD 13, Winchester",Winchester,613-761-2403,Yes,No,Livestock Farm,-
Ostrich Land,https://www.ostrichlandontario.com/,https://www.instagram.com/ostrichlandontario/,info@ostrichland.ca,"8299 Concession 2 Rd, West Lincoln, Ontario  L0R 1E0",West Lincoln,647-988-0841,Yes,Yes,Ostrich Products,Weekdays 10:00 am – 5:00 pm; Weekends 09:00 am - 5:30 pm
OtonaBEE Apiary,-,https://www.instagram.com/otonabeeapiary/,otonabeeapiary@gmail.com,"2010 Cameron Line, Indian River, ON K0L 2B0, Canada",Indian River,705-295-4354,Yes,No,Honey ,-
Otonabee Microgreens,https://www.otonabeemicrogreens.ca/,https://www.instagram.com/otonabeemicrogreens/,otonabeemicrogreens@gmail.com,"851 Hutchinson Drive, Milbrook",Milbrook,647-588-8277,Yes,No,Farm,-
Ottawa Garlic Co.,https://ottawagarlic.com/,https://www.instagram.com/ottawa.garlic/,info@ottawagarlic.com,-,-,613-299-4450,Yes,Yes,Garlic Farm,-
Papa Tom's Worms,https://papatomsworms.com/,-,inspectortom99@gmail.com,"7865 Sassafras Trail, Niagara Falls",Niagara Falls,905-714-3683,Yes,Yes,Worms,-
Perras Gardens,-,-,perrasju@yahoo.ca,"1, Perras Rd Val Rita, ON P0L 2G0",Val Rita,705-367-5302,Yes,No,Vegetables & Boer Goat,-
Pinehaven Farm,https://www.ptboregionalfarmersmarket.org/pinehaven-farm,-,johwoo@nexicom.net ,64 County Road 21 R.R. #3 Millbrook ON L0A 1G0,Millbrook ,705-932-3540,,,Farm,-
Plaid Shirt Farms Ltd,https://plaidshirtfarms.com/,https://www.instagram.com/ontarioblackcurrant/,info@plaidshirtfarms.com,"225804 Otterville Rd, Otterville, ON N0J 1R0, Canada",Otterville,226-321-2525,Yes,Yes,Farm,-
Porpiglia Farms,https://www.facebook.com/p/Porpiglia-Farms-100039505914806/,-,angelaporpiglia@hotmail.ca,"1462 Townline Road, Niagara-on-the-Lake, ON, Ontario",Niagara-on-the-Lake,905-684-0014,Yes,Not Sure,Farm,-
Providence Poultry Ltd./The Good Ground Natural Farm,https://www.thegoodground.ca/,https://www.instagram.com/thegoodground.farm/,mike@thegoodground.ca,"3327 Zimmerman Road, Lincoln, Ontario",Lincoln,905-865-3262,Yes,Yes,"Vegetable, Pasture, Forest Raised Meats",-
Pure Home Grown Inc.,https://www.purehg.com/,https://www.instagram.com/purehomegrowninc/,admin@purehg.com,"2725 Chalmer's Ave. Young’s Point, Ontario",Young's Point,705-312-4236,Yes,No,Aquaponic,Every Thursday 12-4
Quane Flower Farm,https://www.quaneflowerfarm.com/,https://www.instagram.com/quaneflower/,quaneflowerfarm@gmail.com,"921 Telecom Rd. Pontypool, ON L0A 1K0",Pontypool,-,Yes,Not Sure,Flower Farm,-
Queensdale Farm,https://queensdalefarm.ca/,https://www.instagram.com/queensdaleflowers/,diana@queensdalefarm.ca,"205 Queensdale Ave., East York, ON M4C2B1",East York,416-876-8321,No,No,Flower Farm,CLOSED
Riel Acres,https://rielacresfarm.com/,https://www.instagram.com/rielacresfarm/,rielacresfarm@gmail.com,"2574 12th line, Lakefield, on",Lakefield,705 977-7234,Yes,No,Farm,-
Ron-Lyn Farms,-,-,ronlynfarms@hotmail.com,"75 Bruce Road 28 RR #1, Clifford ON N0G 1M0",Clifford,519-367-2666,Yes,Not Sure,Livestock Farm,-
Royal Rose Garden,https://www.localfoodcanada.ca/directory/ontario/toronto/royal-rose-garden,-,royalrose_garden@yahoo.ca,"855218 Gobles Road, Princeton, ON",Princeton,519-458-4786,Yes,No,Berry Farm,Sunday to Friday: 8am - 6pm
Rutabaga Ranch,https://rutabaga-ranch.com/,https://www.instagram.com/rutabagaranch/,therutabagaranch@gmail.com,"10842 Kirker Rd, Brinston, ON K0E 1C0",Brinston,819-431-9637,Yes,No,Farm,Mon - Sun 7:00am-7:00pm
Sannox Farm,-,-,ajheffernan@hotmail.com,"2280 Blezard Line, Indian River, Ontario K0L 2B0 ",Indian River,705-917-1993,Yes,No,Livestock Farm,Saturday between 8AM and 1PM
Sara's Plant Stand,https://www.facebook.com/sarasplantstand/,-,Hamblin22@gmail.com,"890 Orchard Grove Lane, Selwyn , ON",Selwyn,705-872-8271,Yes,Yes,Farm,Always open
Schlosser Farm,https://www.facebook.com/SchlosserFarm/,https://www.instagram.com/schlosserfarmtroutcreek/,schlosserfarmtroutcreek@gmail.com,"80 Schlosser LineTrout Creek, ON P0H 2L0",Trout Creek,705-623-4681,Yes,No,Fruit & Produce Farm,-
Second Avenue Hydro,-,-,aheward@hotmail.com,"438 Second Avenue East, North Bay",North Bay,705-358-8946,Not Sure,Not Sure,Hydroponics,-
Selwyn Garlic Farms,http://selwyngarlicfarms.net/,https://www.instagram.com/selwyngarlic/,willie71@nexicom.net,"1060 Centre Line, Selwyn, Ontario K9J 6X5",,705-927-0515,Yes,No,Garlic Farm,-
Silmaril Farm,http://silmarilfarm.ca/,-,ccchorney+mseaborn5c92b12382c21@gmail.com,"144 Russ Rd Grimsby, ON L3M 4E7",Grimsby,905-945-7963,Yes,No,"Apples, Chicken & Egg","FRIDAY, SATURDAY and SUNDAY 10-4"
Slow Roots Farm,https://slowrootsfarm.ca/,https://www.instagram.com/slow.roots.farm/,info@slowrootsfarm.ca,"1113 French Settlement Rd, Kemptville ON",Kemptville,613-867-2377,Yes,Yes,Farm,Wednesday - Sunday 10am-4pm
Smylie's Meadowlark Farms,https://www.facebook.com/profile.php?id=100091912323983,https://www.instagram.com/smyliesmeadowlarkfarms/,psmylie1@hotmail.com,"845 Amelia Street, North bay",North Bay,705-471-2528,Yes,No,Hydroponics,-
Soiled Reputation,https://soiledreputation.com/,-,johnfam@quadro.net,"4129 County Rd 130, Sebringville, ON N0K 1X0",Sebringville,519-393-6497,Yes,No,Farm,Monday to Friday 9:00am - 5:00pm
Son in Law Produce Ltd.,https://www.soninlawproduce.ca/,https://www.instagram.com/son_in_law_produce_ltd/,hello@soninlawproduce.ca,"225754 Otterville Rd, Otterville, Ontario​",Otterville,(519)410-6383,Yes,Yes,Farm,-
Spring Bloom Acres,https://springbloomorchard.prosperous.farm/,https://www.instagram.com/springbloomacres,SpringBloomAcres@gmail.com,"175631 Flemings Road, Haileybury, Ontario",Ontario,705-312-5903,Yes,No,Farm,Sunday-Thursday from 12-6
Spruce Ridge Farm,https://spruceridgefarm.ca/,https://www.instagram.com/spruceridgefrm87/,spruceridge87@gmail.com,"22450 Thomson Line, Rodney, ON",Rodney,519-476-1169,No,No,Farm,-
Stanley's Olde Maple Lane Farm,https://stanleysfarm.com/,http://instagram.com/stanleysoldemaplelanefarm,operations@stanleysfarm.com,"2452 York's Corners Rd., Edwards, ON K0A 1V0",Edwards,613-821-2751,Yes,Yes,Maple Farm,Tuesday - Fri 9:00am- 5:00pm; Saturday - Sunday 9:00am-3:00pm
Tap That Sap,https://www.facebook.com/TapThatSap,-,jameshogg333@msn.com,"RR #1, 12708 County Road 24, Roseneath ON K0K 2X0",Roseneath,905-352-2350,Yes,No,Maple Farm,Saturday 8:00AM-1:00PM
Terraform Farm,https://www.terraformfarm.com/,https://www.instagram.com/terraformfarm,terraformfarm@gmail.com,"6612 6TH Concession Rd., Prescott, ON, K0E 1T0",Prescott,613-222-5556,Yes,Yes,Farm,Every Sunday 
Thames River Melons,https://www.thamesrivermelons.com/,https://www.instagram.com/thamesrivermelons,alex.trmelons@gmail.com,"765875 Township Road 5, Innerkip, ON, N0J 1M0",Innerkip,519-469-3636,Yes,Yes,Farm,Weekdays 8am-8pm; Weekends 8am-6pm
The Back 40,https://theback40.ca/,https://www.instagram.com/theback40_ca,Gus@theback40.ca,"1158 Telecom Road, Pontypool, Ontario",Pontypool,(705) 277-2791,Yes,Yes,Flower Farm,-
The Barking Bee Company,https://store.thebarkingbeecompany.ca/,-,sales@thebarkingbeecompany.ca,"3765 Mapleshore Drive, Kemptville, ON, Ontario",Kemptville,613-863-8519,Yes,Yes,Honey,-
The Farm on Argyle,https://www.ptboregionalfarmersmarket.org/the-former-farm-on-argyle,https://www.instagram.com/the_farm_on_argyle/,pmabrioux@gmail.com,"61 Argyle, Peterborough",Peterborough,705-876-8221,Yes,Not Sure,Farm,-
The Gardens at Smith Feeds,-,https://www.instagram.com/thegardens.at.smithfeeds/,thegardensatsmithfeeds@gmail.com,"339 Fichault Rd, Rutherglen, ON P0H 2E0,",Rutherglen,705-358-7757,Yes,No,"Flower, Farm",-
The Good Beef Company (formerly Godelie Family Farm),https://www.thegoodbeefcompany.ca/,https://www.instagram.com/goodbeefcompany/,gary@thegoodbeefcompany.ca,"225699 Otterville Road Otterville, ON N0J 1R0",Otterville,519-709-7049,Yes,Yes,Livestock Farm,-
the Promistery,https://promistery.com/,https://www.instagram.com/the.promistery/,promistery@protonmail.com,"3428 Eleventh Street, St Catharines, ON L2R 6P7",St. Catharines,(289) 931-4668,Yes,Yes,Farm,Tuesday-Friday 10:00 AM - 5:00 PM; Saturday 10:00 AM- 3:00 PM
The Ugly Barn Farm,https://theuglybarnfarm.com/,https://www.instagram.com/theuglybarnfarm/,info@theuglybarnfarm.com,"611 Ratter Lake Rd., Markstay, Ontario",Markstay,705-698-6405,Yes,Yes,Barn Farm,"Mon - Fri, 8am - 3:30pm"
Three Forks Farm,https://www.threeforksfarm.ca/,https://www.instagram.com/threeforksfarm,info@threeforksfarm.ca,"345 Colony Road, Bobcaygeon, ON (Kawartha Lakes), K0M 1A0",Bobcaygeon, (705) 931-5338,Yes,Yes,Livestock & Poultry Farm,Friday 3-7pm; Saturday 10am-3pm; Sunday 9-12pm
Top Market Meats and Family Farms,https://topmarketmeats.ca/,-,leslie@topmarketmeats.ca,"5887 Splint Rd, Guelph, ON, Ontario",Guelph,519-716-9464,Yes,Not Sure,Farm,Friday 4:00 PM - 7:00 PM; Saturday 10:00 AM - 5:00 PM; Sunday 11:00 AM - 4:00 PM
Trillium Meadows Red Deer & Wild Boar Farm,https://trilliummeadows.ca/,-,info@trilliummeadows.ca,"1814 Beauchesne Rd, Vankleek Hill, ON K0B 1R0",Vankleek Hill,613-678-1679,Yes,No,Livestock Farm,-
Vergers Villeneuve and Blueberry Farm,https://vergersvilleneuve.com/,https://www.instagram.com/vergersvilleneuve,vergersvilleneuve@hotmail.com,"1341 Rollin Road, CLarence-Rockland, Ontario, K0A 3N0",Clarence-Rockland,613-488-3077,Yes,Yes,Blueberry Farm,Friday - Sunday 11:00 AM - 5:00 PM
Victoria & Grace Honey Co.,https://vghoneyco.ca/,-,victoria@vghoneyco.ca,"10550 Fowler Line, Blackstock, ON L0B 1B0",Blackstock,416-453-3037,Yes,Not Sure,Honey,-
Wagner Maple Farm,wagnermaplesyrup.ca,https://www.instagram.com/wagnermapleproducts/,rjw7032@yahoo.ca,"1778 4th Line Road North Dummer, Douro-Dummer, Ontario, K0L 2H0",Douro-Dummer,(705) 930-0506,Yes,No,Maple Farm,-
Waratah Downs Organic Farm,https://waratahdowns.com/,https://www.instagram.com/waratahdownsfarm/?,waratahdowns@gmail.com,"3444 Scotch Line, Perth ON K7H 3C5",Perth,613-267-7050,Yes,No,Organic Farm,-
Warner's Farm,https://warnersfarm.ca/,https://www.instagram.com/warnersfarm/,twarner@vaxxine.com,"4045 John St., Beamsville, Ontario, Canada L0R 1B1",Beamsville,905 562 5637,Yes,No,Farm,Saturday - Sunday
Wegner Vegetable Gardens,-,-,Mrsfarmerfekete@gmail.com,"R.R#2, 220 13th Concession Road, Scotland",Scotland,519-802-6930,No,No,Farm,-
Willo'Wind Farm,https://www.willowind.ca/,https://www.instagram.com/willo_wind_farm,willowwindfarm@hotmail.com,"12740 Concession Road #5, Uxbridge, ON L9P 1R2",Uxbridge,905-852-3878,Yes,Yes,Farm; Poultry,-
Willow Creek Farm,https://www.facebook.com/Willowcreekcoffee,-,Willowcreekcoffee@outlook.com,"1667 River Road, Astorville",Astorville,705-475-9168,Yes,No,Farm,Open all day
Wren Lane Farm,-,-,wrenlanefarm@yahoo.ca,"1504 11 Line, Harcourt, ON K0L 2H0",Harcourt,705-931-3281,No,No,Honey,-
Wyl-Win Farm,https://www.localfoodcanada.ca/listing/wyl-win-farm,-,wylwinfarm@gmail.com,"2047 4th Line RR#3, Norwood, Ontario, K0L 2V0",Norwood,705-639-5606,Yes,No,Organic Farm,Always open
Yellow House Bees,https://www.facebook.com/YellowHouseBees,https://www.instagram.com/explore/locations/134132073928641/yellow-house-bees,ptbobees@gmail.com,"553 Harvey Street, Peterborough, ON, Ontario",Peterborough,705-741-8485,Yes,No,Honey,Thursdays from 9-1
Yellowlees Family Farm,https://www.facebook.com/yellowleesfarm,https://www.instagram.com/yellowleesfarm,yellowleesfarm@gmail.com,"4441 Malcolm Road, Nestleton, ON L0B 1L0",Nestleton,905-986-0657,Yes,Yes,Livestock & Poultry Farm,Always open
